ln_wealth,log_hazard
16.918989,-2.416079
16.919783,-2.4165666
16.919905,-2.4170551
16.921917,-2.4175432
16.924442,-2.4180315
16.925692,-2.4185197
16.925762,-2.4190085
16.925821,-2.4194982
16.925999,-2.4199874
16.926956,-2.4204769
16.927212,-2.4209664
16.927692,-2.4214571
16.930607,-2.4219472
16.931202,-2.4224377
16.93121,-2.4229283
16.931229,-2.4234197
16.931242,-2.4239109
16.931242,-2.4244022
16.931286,-2.4248939
16.93129,-2.4253864
16.931644,-2.4258785
16.931688,-2.4263709
16.931734,-2.4268634
16.931866,-2.427357
16.931906,-2.42785
16.932106,-2.4283433
16.93223,-2.4288368
16.932264,-2.4293306
16.932487,-2.4298253
16.932884,-2.4303195
16.934044,-2.430814
16.93408,-2.431309
16.935181,-2.4318047
16.935406,-2.4322999
16.936729,-2.4327953
16.937681,-2.433291
16.940208,-2.4337878
16.940296,-2.434284
16.940523,-2.4347804
16.940603,-2.4352772
16.941021,-2.4357748
16.94113,-2.4362721
16.941261,-2.4367695
16.941305,-2.4372673
16.941437,-2.4377658
16.941481,-2.4382641
16.941525,-2.4387627
16.941692,-2.4392614
16.944023,-2.4397602
16.944506,-2.4402602
16.945595,-2.4407597
16.947088,-2.4412594
16.948132,-2.4417593
16.950483,-2.4422603
16.950756,-2.4427607
16.950844,-2.4432614
16.950926,-2.4437623
16.950996,-2.4442642
16.951191,-2.4447658
16.951792,-2.4452674
16.952482,-2.4457693
16.953306,-2.4462724
16.953783,-2.4467747
16.953827,-2.4472775
16.953827,-2.4477806
16.953827,-2.4482844
16.953827,-2.4487879
16.954872,-2.4492917
16.956736,-2.4497957
16.957808,-2.4503
16.957846,-2.4508052
16.959835,-2.4513099
16.960266,-2.4518149
16.961046,-2.4523201
16.961557,-2.4528263
16.961815,-2.4533322
16.963278,-2.4538381
16.96615,-2.4543445
16.966518,-2.4548516
16.966793,-2.4553585
16.967606,-2.4558656
16.968336,-2.456373
16.968929,-2.4568813
16.969059,-2.4573891
16.96945,-2.4578972
16.969955,-2.4584055
16.970446,-2.4589148
16.970955,-2.4594235
16.97102,-2.4599328
16.971233,-2.4604421
16.971233,-2.4609518
16.975702,-2.4614625
16.976046,-2.4619725
16.978004,-2.4624829
16.980352,-2.4629936
16.98118,-2.4635053
16.981455,-2.4640164
16.982103,-2.4645281
16.98488,-2.4650397
16.987232,-2.4655526
16.98777,-2.4660647
16.988012,-2.4665773
16.99102,-2.4670901
16.994543,-2.4676037
16.995667,-2.468117
16.997105,-2.4686306
16.997868,-2.4691446
16.997952,-2.4696593
17.000334,-2.4701736
17.000809,-2.4706883
17.001892,-2.4712033
17.002325,-2.4717183
17.003061,-2.4722345
17.003105,-2.4727502
17.003384,-2.4732661
17.003494,-2.4737823
17.003639,-2.4742997
17.003927,-2.4748163
17.007673,-2.4753335
17.007673,-2.4758506
17.007673,-2.4763689
17.007673,-2.4768867
17.007755,-2.4774048
17.007837,-2.4779232
17.008863,-2.4784427
17.009007,-2.4789615
17.010134,-2.4794807
17.010376,-2.48
17.010418,-2.4805198
17.010786,-2.4810405
17.010868,-2.4815607
17.011036,-2.4820814
17.01124,-2.4826021
17.011278,-2.483124
17.013084,-2.4836452
17.013123,-2.4841669
17.013123,-2.4846888
17.013123,-2.4852116
17.013123,-2.485734
17.013123,-2.4862568
17.014591,-2.4867797
17.014877,-2.4873037
17.015081,-2.4878273
17.015081,-2.4883511
17.015121,-2.4888752
17.015121,-2.4894001
17.015121,-2.4899249
17.016752,-2.4904497
17.017565,-2.4909749
17.017654,-2.4915004
17.018272,-2.4920268
17.021301,-2.4925528
17.024134,-2.4930792
17.029112,-2.4936056
